LONG,the_geom,LAT,Date_Imple
-74.0020263108,POINT (-74.00202631076408 40.6744589623239),40.6744589623,09/28/2015 12:00:00 AM +0000
-73.9386452872,POINT (-73.9386452871627 40.85467237246096),40.8546723725,09/02/2015 12:00:00 AM +0000
-73.9410837015,POINT (-73.9410837015403 40.829081336776056),40.8290813368,10/20/2015 12:00:00 AM +0000
-73.9415446929,POINT (-73.9415446928741 40.82844702755959),40.8284470276,10/20/2015 12:00:00 AM +0000
-73.9420013239,POINT (-73.94200132389727 40.82782584436625),40.8278258444,10/20/2015 12:00:00 AM +0000
-73.9397643337,POINT (-73.93976433366987 40.835144904919055),40.8351449049,02/03/2015 12:00:00 AM +0000
-73.8968511267,POINT (-73.89685112674937 40.82487378277021),40.8248737828,10/16/2015 12:00:00 AM +0000
-73.9366942222,POINT (-73.93669422215677 40.837195133568486),40.8371951336,07/15/2015 12:00:00 AM +0000
-73.9377513179,POINT (-73.93775131792036 40.83488940946766),40.8348894095,07/15/2015 12:00:00 AM +0000
-73.9403727817,POINT (-73.9403727817396 40.83141491375969),40.8314149138,07/15/2015 12:00:00 AM +0000
-73.9174475122,POINT (-73.91744751218707 40.844134779051764),40.8441347791,10/20/2015 12:00:00 AM +0000
-73.9940355759,POINT (-73.9940355759072 40.7312761630964),40.7312761631,06/10/2015 12:00:00 AM +0000
-73.9932491112,POINT (-73.99324911123232 40.730945073890325),40.7309450739,06/10/2015 12:00:00 AM +0000
-73.9979866965,POINT (-73.99798669646114 40.73294600252184),40.7329460025,06/10/2015 12:00:00 AM +0000
-74.0030982518,POINT (-74.00309825178256 40.62791595006421),40.6279159501,11/25/2015 12:00:00 AM +0000
-73.9078494603,POINT (-73.90784946031206 40.6659013464286),40.6659013464,12/09/2015 12:00:00 AM +0000
-73.9085325276,POINT (-73.90853252759733 40.89064533299778),40.890645333,10/20/1999 12:00:00 AM +0000
-73.8463847792,POINT (-73.84638477919184 40.7218802808128),40.7218802808,01/11/2016 12:00:00 AM +0000
-73.8475341552,POINT (-73.84753415524362 40.72221653657252),40.7222165366,01/11/2016 12:00:00 AM +0000
-74.0083155241,POINT (-74.00831552405022 40.73619421309811),40.7361942131,01/08/2016 12:00:00 AM +0000
-74.0089256022,POINT (-74.00892560216353 40.73115508740366),40.7311550874,12/28/2015 12:00:00 AM +0000
-73.9522275198,POINT (-73.95222751975558 40.7172687540385),40.717268754,04/29/2016 12:00:00 AM +0000
-73.8332647919,POINT (-73.83326479191447 40.88316822117367),40.8831682212,05/27/2016 12:00:00 AM +0000
-73.8329795007,POINT (-73.83297950065827 40.88239228857599),40.8823922886,05/27/2016 12:00:00 AM +0000
-74.0046602089,POINT (-74.00466020888953 40.72490826044894),40.7249082604,06/07/2016 12:00:00 AM +0000
-73.9577105088,POINT (-73.95771050880553 40.806296101284296),40.8062961013,08/01/2016 12:00:00 AM +0000
-73.9763057237,POINT (-73.97630572373505 40.79403173446212),40.7940317345,08/01/2016 12:00:00 AM +0000
-73.9762332196,POINT (-73.97623321960353 40.79482729326565),40.7948272933,08/01/2016 12:00:00 AM +0000
-73.9828940195,POINT (-73.98289401946346 40.70056671383538),40.7005667138,07/01/2016 12:00:00 AM +0000
-73.8252293212,POINT (-73.8252293211816 40.79572569754961),40.7957256975,08/19/2016 12:00:00 AM +0000
